Sku*,ListingRefNumber*,GUID*,Inventory,Mrp*,SellingPrice,MarketplaceCatName,MarketplaceCatValue,LiveStatus,ImageUrl,Title,Brand,ShippingLocal,ShippingZonal,ShippingNational,Weight,Height,Length,Breadth,Color,Size,Identifier*,ProductAttributes,stock_status_type
TWINS_NK_990_PEACH_M,TWINS_NK_990_PEACH_M,44775247,,4199,,,,,,,TWINS LADY,,,,,,,,PEACH,M,TWINS_NK_990_PEACH_M,,
TWINS_NK_990_PEACH_L,TWINS_NK_990_PEACH_L,44775247,,4199,,,,,,,TWINS LADY,,,,,,,,PEACH,L,TWINS_NK_990_PEACH_L,,
TWINS_NK_990_PEACH_XL,TWINS_NK_990_PEACH_XL,44775247,,4199,,,,,,,TWINS LADY,,,,,,,,PEACH,XL,TWINS_NK_990_PEACH_XL,,
TWINS_NK_990_PEACH_XXL,TWINS_NK_990_PEACH_XXL,44775247,,4199,,,,,,,TWINS LADY,,,,,,,,PEACH,XXL,TWINS_NK_990_PEACH_XXL,,
TWINS_NK_990_SKY_M,TWINS_NK_990_SKY_M,44775246,,4199,,,,,,,TWINS LADY,,,,,,,,SKY,M,TWINS_NK_990_SKY_M,,
TWINS_NK_990_SKY_L,TWINS_NK_990_SKY_L,44775246,,4199,,,,,,,TWINS LADY,,,,,,,,SKY,L,TWINS_NK_990_SKY_L,,
TWINS_NK_990_SKY_XL,TWINS_NK_990_SKY_XL,44775246,,4199,,,,,,,TWINS LADY,,,,,,,,SKY,XL,TWINS_NK_990_SKY_XL,,
TWINS_NK_990_SKY_XXL,TWINS_NK_990_SKY_XXL,44775246,,4199,,,,,,,TWINS LADY,,,,,,,,SKY,XXL,TWINS_NK_990_SKY_XXL,,
TWINS_NK_973_PEACH_S,TWINS_NK_973_PEACH_S,44775245,,4699,,,,,,,TWINS LADY,,,,,,,,PEACH,S,TWINS_NK_973_PEACH_S,,
TWINS_NK_973_PEACH_M,TWINS_NK_973_PEACH_M,44775245,,4699,,,,,,,TWINS LADY,,,,,,,,PEACH,M,TWINS_NK_973_PEACH_M,,
TWINS_NK_973_PEACH_L,TWINS_NK_973_PEACH_L,44775245,,4699,,,,,,,TWINS LADY,,,,,,,,PEACH,L,TWINS_NK_973_PEACH_L,,
TWINS_NK_973_PEACH_XL,TWINS_NK_973_PEACH_XL,44775245,,4699,,,,,,,TWINS LADY,,,,,,,,PEACH,XL,TWINS_NK_973_PEACH_XL,,
TWINS_NK_973_PEACH_XXL,TWINS_NK_973_PEACH_XXL,44775245,,4699,,,,,,,TWINS LADY,,,,,,,,PEACH,XXL,TWINS_NK_973_PEACH_XXL,,
