SKU,Discount %
TWINS00000084,70
TWINS00000085,70
TWINS00000086,70
TWINS00000087,70
TWINS00000088,70
TWINS00000104,61
TWINS00000105,61
TWINS00000106,61
TWINS00000107,61
TWINS00000108,61
TWINS00000134,68
TWINS00000135,68
TWINS00000136,68
TWINS00000137,68
TWINS00000138,68
TWINS00000144,70
TWINS00000145,70
TWINS00000146,70
TWINS00000147,70
TWINS00000148,70
TWINS00000154,74
TWINS00000155,74
TWINS00000156,74
TWINS00000157,74
TWINS00000158,74
TWINS00000159,77
TWINS00000160,77
TWINS00000161,77
TWINS00000162,77
TWINS00000163,77
TWINS00000164,77
TWINS00000165,77
TWINS00000166,77
TWINS00000167,77
TWINS00000168,77
TWINS00000169,64
TWINS00000170,64
TWINS00000171,64
TWINS00000172,64
TWINS00000173,64
TWINS00000079,73
TWINS00000080,73
TWINS00000081,73
TWINS00000082,73
TWINS00000083,73
TWINS00000089,70
TWINS00000090,70
TWINS00000091,70
TWINS00000092,70
TWINS00000093,70
TWINS00000094,70
TWINS00000095,70
TWINS00000096,70
TWINS00000097,70
TWINS00000098,70
TWINS00000099,67
TWINS00000100,67
TWINS00000101,67
TWINS00000102,67
TWINS00000103,67
TWINS00000109,61
TWINS00000110,61
TWINS00000111,61
TWINS00000112,61
TWINS00000113,61
TWINS00000114,61
TWINS00000115,61
TWINS00000116,61
TWINS00000117,61
TWINS00000118,61
TWINS00000119,70
TWINS00000120,70
TWINS00000121,70
TWINS00000122,70
TWINS00000123,70
TWINS00000124,70
TWINS00000125,70
TWINS00000126,70
TWINS00000127,70
TWINS00000128,70
TWINS00000129,64
TWINS00000130,64
TWINS00000131,64
TWINS00000132,64
TWINS00000133,64
TWINS00000139,62
TWINS00000140,62
TWINS00000141,62
TWINS00000142,62
TWINS00000143,62
TWINS00000149,61
TWINS00000150,61
TWINS00000151,61
TWINS00000152,61
TWINS00000153,61
TWINS00000174,67
TWINS00000175,67
TWINS00000176,67
TWINS00000177,67
TWINS00000178,63
TWINS00000179,63
TWINS00000180,63
TWINS00000181,63
