SKU,Discount %
TWINS00000084,40
TWINS00000085,40
TWINS00000086,40
TWINS00000087,40
TWINS00000088,40
TWINS00000104,30
TWINS00000105,30
TWINS00000106,30
TWINS00000107,30
TWINS00000108,30
TWINS00000134,35
TWINS00000135,35
TWINS00000136,35
TWINS00000137,35
TWINS00000138,35
TWINS00000144,40
TWINS00000145,40
TWINS00000146,40
TWINS00000147,40
TWINS00000148,40
TWINS00000154,50
TWINS00000155,50
TWINS00000156,50
TWINS00000157,50
TWINS00000158,50
TWINS00000159,55
TWINS00000160,55
TWINS00000161,55
TWINS00000162,55
TWINS00000163,55
TWINS00000164,55
TWINS00000165,55
TWINS00000166,55
TWINS00000167,55
TWINS00000168,55
TWINS00000169,25
TWINS00000170,25
TWINS00000171,25
TWINS00000172,25
TWINS00000173,25
TWINS00000079,30
TWINS00000080,30
TWINS00000081,30
TWINS00000082,30
TWINS00000083,30
TWINS00000089,30
TWINS00000090,30
TWINS00000091,30
TWINS00000092,30
TWINS00000093,30
TWINS00000094,30
TWINS00000095,30
TWINS00000096,30
TWINS00000097,30
TWINS00000098,30
TWINS00000099,30
TWINS00000100,30
TWINS00000101,30
TWINS00000102,30
TWINS00000103,30
TWINS00000109,20
TWINS00000110,20
TWINS00000111,20
TWINS00000112,20
TWINS00000113,20
TWINS00000114,20
TWINS00000115,20
TWINS00000116,20
TWINS00000117,20
TWINS00000118,20
TWINS00000119,40
TWINS00000120,40
TWINS00000121,40
TWINS00000122,40
TWINS00000123,40
TWINS00000124,40
TWINS00000125,40
TWINS00000126,40
TWINS00000127,40
TWINS00000128,40
TWINS00000129,20
TWINS00000130,20
TWINS00000131,20
TWINS00000132,20
TWINS00000133,20
TWINS00000139,40
TWINS00000140,40
TWINS00000141,40
TWINS00000142,40
TWINS00000143,40
TWINS00000149,30
TWINS00000150,30
TWINS00000151,30
TWINS00000152,30
TWINS00000153,30
TWINS00000174,30
TWINS00000175,30
TWINS00000176,30
TWINS00000177,30
TWINS00000178,20
TWINS00000179,20
TWINS00000180,20
TWINS00000181,20
